[-2.15e-07, -10.0, 4.5e-07, 2.06265e-07, 1.08398e-07, 1e-06, 7.55127e-07, 0.00240211, 51.2, 2.58569, 30.6728]
[-2.15e-07, -10.0, 4.5e-07, 3.05936e-07, 3.00595e-07, 1e-06, 6e-07, 0.00319619, 36.179487200000004, 3.00849, 39.7924]
[-2.15e-07, -10.0, 5.08192e-07, 2.08545e-07, 1.93698e-07, 8.26214e-07, 7.6348e-07, 0.0029912, 42.4615385, 2.82829, 33.4881]
[-2.15e-07, -10.0, 5.1465e-07, 2.985e-07, 3.40715e-07, 6.38745e-07, 8.12813e-07, 0.00295337, 38.6923077, 2.6716, 40.287]
[-2.15e-07, -10.0, 5.18081e-07, 1.58944e-07, 2.34848e-07, 6e-07, 6e-07, 0.00148712, 60.800000000000004, 1.39794, 75.1647]
[-2.15e-07, -10.0, 6e-07, 9.71413e-08, 1.77476e-07, 1e-06, 1e-06, 0.00147584, 62.00000000000001, 1.34444, 68.6384]
[-2.15e-07, -10.0, 6e-07, 1.32422e-07, 3.25806e-07, 1e-06, 1e-06, 0.00317858, 38.6923077, 2.78457, 34.761]
[-2.15e-07, -10.0, 6e-07, 1.60984e-07, 3.0546e-07, 7.31926e-07, 7.306e-07, 0.00214315, 52.400000000000006, 1.86291, 50.9513]
[-2.15e-07, -10.0, 6e-07, 2.38634e-07, 1.63616e-07, 9.53762e-07, 1e-06, 0.0015333, 58.400000000000006, 1.35232, 65.385]
[-2.15e-07, -10.0, 6e-07, 2.51854e-07, 1.63466e-07, 6e-07, 1e-06, 0.00139915, 59.6, 1.23321, 70.2452]
[-2.15e-07, -10.0, 6e-07, 2.91999e-07, 2.305e-07, 1e-06, 6.1154e-07, 0.00333807, 34.923076900000005, 2.88283, 32.5422]
[-2.15e-07, -10.0, 6e-07, 2.93569e-07, 1.56483e-07, 6.91119e-07, 6.62147e-07, 0.00124742, 62.00000000000001, 1.10027, 77.3144]
[-2.15e-07, -10.0, 6e-07, 3.21963e-07, 1.85891e-07, 1e-06, 6e-07, 0.000722566, 74.0, 0.630088, 142.672]
[-2.15e-07, -10.0, 6e-07, 4.09409e-07, 2.83196e-07, 1e-06, 8.34934e-07, 0.00312557, 33.6666667, 2.67563, 35.0807]
[-2.15e-07, -9.99273, 4.95416e-07, 2.8505e-07, 4.44419e-07, 8.21686e-07, 6.64403e-07, 0.00284261, 38.6923077, 2.5923, 43.3748]
[-2.15e-07, -9.97838, 4.67433e-07, 1.12844e-07, 3.5165e-07, 6.09387e-07, 9.36228e-07, 0.0032288, 40.0, 3.21981, 39.5561]
[-2.15e-07, -9.9517, 4.53084e-07, 2.48362e-07, 4.03156e-07, 9.08265e-07, 9.90777e-07, 0.00384874, 31.1538462, 3.60666, 33.0427]
[-2.15e-07, -9.89085, 4.81292e-07, 3.59112e-07, 4.75179e-07, 8.07563e-07, 6.18658e-07, 0.00299455, 36.179487200000004, 2.73865, 41.6769]
[-2.15e-07, -9.88904, 4.54252e-07, 2.64896e-07, 3.55093e-07, 9.40028e-07, 9.95425e-07, 0.000634528, 74.0, 0.594894, 202.919]
[-2.15e-07, -9.88347, 4.92977e-07, 3.84582e-07, 3.51146e-07, 9.61601e-07, 6.16997e-07, 0.00371823, 29.8974359, 3.39444, 33.513]
[-2.15e-07, -9.86993, 4.75897e-07, 2.92513e-07, 3.41827e-07, 6.62953e-07, 6.14526e-07, 0.0021794, 50.0, 2.01829, 58.1079]
[-2.15e-07, -9.86279, 4.89833e-07, 4.20718e-07, 2.50862e-07, 8.28439e-07, 8.2566e-07, 0.000575723, 74.0, 0.534149, 201.409]
[-2.15e-07, -9.83935, 4.6044e-07, 4.72103e-07, 5.193e-08, 6.15389e-07, 9.18153e-07, 0.00340731, 33.6666667, 3.87074, 16.6692]
[-2.15e-07, -9.83453, 4.71599e-07, 1.66798e-07, 4.02035e-07, 9.21538e-07, 7.18607e-07, 0.00112514, 64.4, 1.07307, 110.91]
[-2.15e-07, -9.80939, 4.70644e-07, 2.72923e-07, 1.47422e-07, 8.29599e-07, 1e-06, 0.00124145, 62.00000000000001, 1.23711, 69.4707]
[-2.15e-07, -9.80087, 4.96005e-07, 4.47149e-07, 1.15454e-07, 8.1242e-07, 6.09961e-07, 0.0026659, 40.0, 2.64823, 29.6389]
[-2.15e-07, -9.76665, 6e-07, 2.39335e-07, 3.24007e-07, 1e-06, 6e-07, 0.00127502, 60.800000000000004, 1.09642, 84.9687]
[-2.15e-07, -9.71541, 4.86701e-07, 3.25803e-07, 3.35539e-07, 6.15693e-07, 8.45182e-07, 0.00343159, 33.6666667, 3.1581, 36.2499]
[-2.15e-07, -9.7147, 4.89004e-07, 2.6723e-07, 1.6704e-07, 8.06201e-07, 9.82636e-07, 0.00274237, 43.7179487, 2.65421, 34.0946]
[-2.15e-07, -9.69675, 4.90183e-07, 1.95282e-07, 1.18665e-07, 9.23783e-07, 9.56326e-07, 0.000773627, 74.0, 0.78701, 101.299]
